alpha	u	rate	minc
0.72	18.0	1.0	0.36568924302340833
0.72	19.5	1.0	0.36568924302340833
0.72	21.0	1.0	0.36568924302340833
0.72	22.5	1.0	0.36568924302340833
0.72	24.0	1.0	0.36568924302340833
0.72	25.5	1.0	0.36568924302340833
0.72	27.0	1.0	0.36568924302340833
0.72	28.5	1.0	0.36568924302340833
0.72	30.0	1.0	0.36568924302340833
0.72	31.5	1.0	0.36568924302340833
0.72	33.0	1.0	0.36568924302340833
0.72	34.5	1.0	0.36568924302340833
0.72	36.0	1.0	0.36568924302340833
0.72	37.5	1.0	0.36568924302340833
0.72	39.0	1.0	0.36568924302340833
0.72	40.5	1.0	0.36568924302340833
0.72	42.0	1.0	0.36568924302340833
0.72	43.5	1.0	0.36568924302340833
0.72	45.0	1.0	0.36568924302340833
0.72	46.5	1.0	0.36568924302340833
0.72	48.0	1.0	0.36568924302340833
0.72	49.5	1.0	0.36568924302340833
0.72	51.0	1.0	0.36568924302340833
0.72	52.5	1.0	0.36568924302340833
0.72	54.0	1.0	0.36568924302340833
0.72	55.5	1.0	0.36568924302340833
0.72	57.0	1.0	0.36568924302340833
0.72	58.5	1.0	0.36568924302340833
0.72	60.0	1.0	0.36568924302340833
0.765	0.0	0.0	0.41575651936910374
0.765	1.5	0.0	0.41575651936910374
0.765	3.0	0.0	0.41575651936910374
0.765	4.5	0.0	0.41575651936910374
0.765	6.0	0.7790697674418605	0.39433179397408735
0.765	7.5	1.0	0.3874521779329134
0.765	9.0	1.0	0.3874521779329134
0.765	10.5	1.0	0.3874521779329134
0.765	12.0	1.0	0.3874521779329134
0.765	13.5	1.0	0.3874521779329134
0.765	15.0	1.0	0.3874521779329134
0.765	16.5	1.0	0.3874521779329134
0.765	18.0	1.0	0.3874521779329134
0.765	19.5	1.0	0.3874521779329134
0.765	21.0	1.0	0.3874521779329134
0.765	22.5	1.0	0.3874521779329134
0.765	24.0	1.0	0.3874521779329134
0.765	25.5	1.0	0.3874521779329134
0.765	27.0	1.0	0.3874521779329134
